Common_Code,Diagnosis
E705,Disorders of tryptophan metabolism
E708,Other disorders of aromatic amino-acid metabolism
E709,"Disorder of aromatic amino-acid metabolism, unspecified"
E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
E712,"Disorder of branched-chain amino-acid metabolism, unspecified"
E713,Disorders of fatty-acid metabolism
E714,Disorders of carnitine metabolism
E715,Peroxisomal disorders
E720,Disorders of amino-acid transport
E721,Disorders of sulfur-bearing amino-acid metabolism
E722,Disorders of urea cycle metabolism
E723,Disorders of lysine and hydroxylysine metabolism
E724,Disorders of ornithine metabolism
E725,Disorders of glycine metabolism
E728,Other specified disorders of amino-acid metabolism
E729,"Disorder of amino-acid metabolism, unspecified"
E73,Lactose intolerance
E740,Glycogen storage disease
E741,Disorders of fructose metabolism
E742,Disorders of galactose metabolism
E743,Other disorders of intestinal carbohydrate absorption
E744,Disorders of pyruvate metabolism and gluconeogenesis
E748,Other specified disorders of carbohydrate metabolism
E749,"Disorder of carbohydrate metabolism, unspecified"
E750,GM2 gangliosidosis
E751,Other and unspecified gangliosidosis
E752,Other sphingolipidosis
E753,"Sphingolipidosis, unspecified"
E754,Neuronal ceroid lipofuscinosis
E755,Other lipid storage disorders
E756,"Lipid storage disorder, unspecified"
E760,"Mucopolysaccharidosis, type I"
E761,"Mucopolysaccharidosis, type II"
E763,"Mucopolysaccharidosis, unspecified"
E768,Other disorders of glucosaminoglycan metabolism
E769,"Glucosaminoglycan metabolism disorder, unspecified"
E77,Disorders of glycoprotein metabolism
E780,Pure hypercholesterolemia
E781,Pure hyperglyceridemia
E782,Mixed hyperlipidemia
E783,Hyperchylomicronemia
E784,Other hyperlipidemia
E785,"Hyperlipidemia, unspecified"
E786,Lipoprotein deficiency
E787,Disorders of bile acid and cholesterol metabolism
E788,Other disorders of lipoprotein metabolism
E789,"Disorder of lipoprotein metabolism, unspecified"
E79,Disorders of purine and pyrimidine metabolism
E80,Disorders of porphyrin and bilirubin metabolism
E802,Other and unspecified porphyria
E803,Defects of catalase and peroxidase
E804,Gilbert syndrome
E805,Crigler-Najjar syndrome
E806,Other disorders of bilirubin metabolism
E807,"Disorder of bilirubin metabolism, unspecified"
E830,Disorders of copper metabolism
E831,Disorders of iron metabolism
E832,Disorders of zinc metabolism
E833,Disorders of phosphorus metabolism and phosphatases
E834,Disorders of magnesium metabolism
E835,Disorders of calcium metabolism
E838,Other disorders of mineral metabolism
E839,"Disorder of mineral metabolism, unspecified"
E84,Cystic fibrosis
E841,Cystic fibrosis with intestinal manifestations
E848,Cystic fibrosis with other manifestations
E849,"Cystic fibrosis, unspecified"
E85,Amyloidosis
E858,Other amyloidosis
E859,"Amyloidosis, unspecified"
E86,Volume depletion
E87,"Other disorders of fluid, electrolyte and acid-base balance"
E877,Fluid overload
E878,"Other disorders of electrolyte and fluid balance, not elsewhere classified"
E880,"Disorders of plasma-protein metabolism, not elsewhere classified"
E881,"Lipodystrophy, not elsewhere classified"
E882,"Lipomatosis, not elsewhere classified"
E883,Tumor lysis syndrome
E884,Mitochondrial metabolism disorders
E888,Other specified metabolic disorders
E889,"Metabolic disorder, unspecified"
E89,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified"
E894,Postprocedural ovarian failure
E895,Postprocedural testicular hypofunction
E896,Postprocedural adrenocortical (-medullary) hypofunction
F015,Vascular dementia
F028,Dementia in other diseases classified elsewhere
F039,Unspecified dementia
F04,Amnestic disorder due to known physiological condition
F05,Delirium due to known physiological condition
F06,Other mental disorders due to known physiological condition
F063,Mood disorder due to known physiological condition
F064,Anxiety disorder due to known physiological condition
F068,Other specified mental disorders due to known physiological condition
F07,Personality and behavioral disorders due to known physiological condition
F078,Other personality and behavioral disorders due to known physiological condition
F079,Unspecified personality and behavioral disorder due to known physiological condition
F09,Unspecified mental disorder due to known physiological condition
F101,Alcohol abuse
F102,Alcohol dependence
F111,Opioid abuse
F112,Opioid dependence
F119,"Opioid use, unspecified"
F121,Cannabis abuse
F122,Cannabis dependence
F129,"Cannabis use, unspecified"
F131,"Sedative, hypnotic or anxiolytic-related abuse"
F132,"Sedative, hypnotic or anxiolytic-related dependence"
F139,"Sedative, hypnotic or anxiolytic-related use, unspecified"
F141,Cocaine abuse
F142,Cocaine dependence
F149,"Cocaine use, unspecified"
F151,Other stimulant abuse
F152,Other stimulant dependence
F159,"Other stimulant use, unspecified"
F161,Hallucinogen abuse
F162,Hallucinogen dependence
F169,"Hallucinogen use, unspecified"
F181,Inhalant abuse
F182,Inhalant dependence
F189,"Inhalant use, unspecified"
F191,Other psychoactive substance abuse
F192,Other psychoactive substance dependence
F199,"Other psychoactive substance use, unspecified"
F20,Schizophrenia
F208,Other schizophrenia
F209,"Schizophrenia, unspecified"
F21,Schizotypal disorder
F22,Delusional disorders
F23,Brief psychotic disorder
F24,Shared psychotic disorder
F25,Schizoaffective disorders
F28,Other psychotic disorder not due to a substance or known physiological condition
F29,Unspecified psychosis not due to a substance or known physiological condition
F301,Manic episode without psychotic symptoms
F302,"Manic episode, severe with psychotic symptoms"
F303,Manic episode in partial remission
F304,Manic episode in full remission
F308,Other manic episodes
F309,"Manic episode, unspecified"
F31,Bipolar disorder
F311,"Bipolar disorder, current episode manic without psychotic features"
F312,"Bipolar disorder, current episode manic severe with psychotic features"
F313,"Bipolar disorder, current episode depressed, mild or moderate severity"
F314,"Bipolar disorder, current episode depressed, severe, without psychotic features"
F315,"Bipolar disorder, current episode depressed, severe, with psychotic features"
F316,"Bipolar disorder, current episode mixed"
F317,"Bipolar disorder, currently in remission"
F318,Other bipolar disorders
F319,"Bipolar disorder, unspecified"
F32,"Major depressive disorder, single episode"
F328,Other depressive episodes
F329,"Major depressive disorder, single episode, unspecified"
F33,"Major depressive disorder, recurrent"
F334,"Major depressive disorder, recurrent, in remission"
F338,Other recurrent depressive disorders
F339,"Major depressive disorder, recurrent, unspecified"
F34,Persistent mood [affective] disorders
F348,Other persistent mood [affective] disorders
F349,"Persistent mood [affective] disorder, unspecified"
F39,Unspecified mood [affective] disorder
F400,Agoraphobia
F401,Social phobias
F408,Other phobic anxiety disorders
F409,"Phobic anxiety disorder, unspecified"
F41,Other anxiety disorders
F42,Obsessive-compulsive disorder
F43,"Reaction to severe stress, and adjustment disorders"
F431,Post-traumatic stress disorder (PTSD)
F432,Adjustment disorders
F438,Other reactions to severe stress
F439,"Reaction to severe stress, unspecified"
F44,Dissociative and conversion disorders
F448,Other dissociative and conversion disorders
F449,"Dissociative and conversion disorder, unspecified"
F45,Somatoform disorders
F452,Hypochondriacal disorders
F454,Pain disorders related to psychological factors
F458,Other somatoform disorders
F459,"Somatoform disorder, unspecified"
F48,Other nonpsychotic mental disorders
F500,Anorexia nervosa
F502,Bulimia nervosa
F508,Other eating disorders
F509,"Eating disorder, unspecified"
F510,Insomnia not due to a substance or known physiological condition
F511,Hypersomnia not due to a substance or known physiological condition
F513,Sleepwalking [somnambulism]
F514,Sleep terrors [night terrors]
F515,Nightmare disorder
F518,Other sleep disorders not due to a substance or known physiological condition
F519,"Sleep disorder not due to a substance or known physiological condition, unspecified"
F52,Sexual dysfunction not due to a substance or known physiological condition
F522,Sexual arousal disorders
F523,Orgasmic disorder
F524,Premature ejaculation
F525,Vaginismus not due to a substance or known physiological condition
F526,Dyspareunia not due to a substance or known physiological condition
F528,Other sexual dysfunction not due to a substance or known physiological condition
F529,Unspecified sexual dysfunction not due to a substance or known physiological condition
F53,Puerperal psychosis
F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
F55,Abuse of non-psychoactive substances
F59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors
F60,Specific personality disorders
F608,Other specific personality disorders
F609,"Personality disorder, unspecified"
F63,Impulse disorders
F638,Other impulse disorders
F639,"Impulse disorder, unspecified"
F64,Gender identity disorders
F65,Paraphilias
F655,Sadomasochism
F658,Other paraphilias
F659,"Paraphilia, unspecified"
F66,Other sexual disorders
F681,Factitious disorder
F688,Other specified disorders of adult personality and behavior
F69,Unspecified disorder of adult personality and behavior
F70,Mild intellectual disabilities
F71,Moderate intellectual disabilities
F72,Severe intellectual disabilities
F73,Profound intellectual disabilities
F78,Other intellectual disabilities
F79,Unspecified intellectual disabilities
F80,Specific developmental disorders of speech and language
F808,Other developmental disorders of speech and language
F809,"Developmental disorder of speech and language, unspecified"
F81,Specific developmental disorders of scholastic skills
F818,Other developmental disorders of scholastic skills
F819,"Developmental disorder of scholastic skills, unspecified"
F82,Specific developmental disorder of motor function
F84,Pervasive developmental disorders
F88,Other disorders of psychological development
F89,Unspecified disorder of psychological development
F90,Attention-deficit hyperactivity disorders
F91,Conduct disorders
F93,Emotional disorders with onset specific to childhood
F94,Disorders of social functioning with onset specific to childhood and adolescence
F95,Tic disorder
F98,Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F982,Other feeding disorders of infancy and childhood
F983,Pica of infancy and childhood
F984,Stereotyped movement disorders
F985,Adult onset fluency disorder
F988,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F989,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F99,"Mental disorder, not otherwise specified"
G00,"Bacterial meningitis, not elsewhere classified"
G01,Meningitis in bacterial diseases classified elsewhere
G02,Meningitis in other infectious and parasitic diseases classified elsewhere
G03,Meningitis due to other and unspecified causes
G040,Acute disseminated encephalitis and encephalomyelitis (ADEM)
G041,Tropical spastic paraplegia
G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
G043,Acute necrotizing hemorrhagic encephalopathy
G048,"Other encephalitis, myelitis and encephalomyelitis"
G049,"Encephalitis, myelitis and encephalomyelitis, unspecified"
G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
G06,Intracranial and intraspinal abscess and granuloma
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08,Intracranial and intraspinal phlebitis and thrombophlebitis
G09,Sequelae of inflammatory diseases of central nervous system
G10,Huntington's disease
G11,Hereditary ataxia
G12,Spinal muscular atrophy and related syndromes
G122,Motor neuron disease
G128,Other spinal muscular atrophies and related syndromes
G129,"Spinal muscular atrophy, unspecified"
G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
G14,Postpolio syndrome
G20,Parkinson's disease
G21,Secondary parkinsonism
G211,Other drug-induced secondary parkinsonism
G212,Secondary parkinsonism due to other external agents
G213,Postencephalitic parkinsonism
G214,Vascular parkinsonism
G218,Other secondary parkinsonism
G219,"Secondary parkinsonism, unspecified"
G23,Other degenerative diseases of basal ganglia
G240,Drug induced dystonia
G241,Genetic torsion dystonia
G242,Idiopathic nonfamilial dystonia
G243,Spasmodic torticollis
G244,Idiopathic orofacial dystonia
G245,Blepharospasm
G248,Other dystonia
G249,"Dystonia, unspecified"
G25,Other extrapyramidal and movement disorders
G256,Drug induced tics and other tics of organic origin
G257,Other and unspecified drug induced movement disorders
G258,Other specified extrapyramidal and movement disorders
G259,"Extrapyramidal and movement disorder, unspecified"
G26,Extrapyramidal and movement disorders in diseases classified elsewhere
G30,Alzheimer's disease
G310,Frontotemporal dementia
G311,"Senile degeneration of brain, not elsewhere classified"
G312,Degeneration of nervous system due to alcohol
G318,Other specified degenerative diseases of nervous system
G319,"Degenerative disease of nervous system, unspecified"
G32,Other degenerative disorders of nervous system in diseases classified elsewhere
G328,Other specified degenerative disorders of nervous system in diseases classified elsewhere
G35,Multiple sclerosis
G36,Other acute disseminated demyelination
G37,Other demyelinating diseases of central nervous system
G43A,Cyclical vomiting
G43B,Ophthalmoplegic migraine
G43C,Periodic headache syndromes in child or adult
G43D,Abdominal migraine
G441,"Vascular headache, not elsewhere classified"
G444,"Drug-induced headache, not elsewhere classified"
G445,Complicated headache syndromes
G448,Other specified headache syndromes
G45,Transient cerebral ischemic attacks and related syndromes
G46,Vascular syndromes of brain in cerebrovascular diseases
G470,Insomnia
G471,Hypersomnia
G472,Circadian rhythm sleep disorders
G473,Sleep apnea
G475,Parasomnia
G476,Sleep related movement disorders
G478,Other sleep disorders
G479,"Sleep disorder, unspecified"
G50,Disorders of trigeminal nerve
G51,Facial nerve disorders
G52,Disorders of other cranial nerves
G53,Cranial nerve disorders in diseases classified elsewhere
G54,Nerve root and plexus disorders
G55,Nerve root and plexus compressions in diseases classified elsewhere
G560,Carpal tunnel syndrome
G561,Other lesions of median nerve
G562,Lesion of ulnar nerve
G563,Lesion of radial nerve
G564,Causalgia of upper limb
G568,Other specified mononeuropathies of upper limb
G569,Unspecified mononeuropathy of upper limb
G570,Lesion of sciatic nerve
G571,Meralgia paresthetica
G572,Lesion of femoral nerve
G573,Lesion of lateral popliteal nerve
G574,Lesion of medial popliteal nerve
G575,Tarsal tunnel syndrome
G576,Lesion of plantar nerve
G577,Causalgia of lower limb
G578,Other specified mononeuropathies of lower limb
G579,Unspecified mononeuropathy of lower limb
G58,Other mononeuropathies
G59,Mononeuropathy in diseases classified elsewhere
G60,Hereditary and idiopathic neuropathy
G61,Inflammatory polyneuropathy
G618,Other inflammatory polyneuropathies
G619,"Inflammatory polyneuropathy, unspecified"
G62,Other and unspecified polyneuropathies
G628,Other specified polyneuropathies
G629,"Polyneuropathy, unspecified"
G63,Polyneuropathy in diseases classified elsewhere
G64,Other disorders of peripheral nervous system
G65,Sequelae of inflammatory and toxic polyneuropathies
G700,Myasthenia gravis
G701,Toxic myoneural disorders
G702,Congenital and developmental myasthenia
G708,Other specified myoneural disorders
G709,"Myoneural disorder, unspecified"
G71,Primary disorders of muscles
G711,Myotonic disorders
G712,Congenital myopathies
G713,"Mitochondrial myopathy, not elsewhere classified"
G718,Other primary disorders of muscles
G719,"Primary disorder of muscle, unspecified"
G72,Other and unspecified myopathies
G724,"Inflammatory and immune myopathies, not elsewhere classified"
G728,Other specified myopathies
G729,"Myopathy, unspecified"
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere
G80,Cerebral palsy
G810,Flaccid hemiplegia
G811,Spastic hemiplegia
G819,"Hemiplegia, unspecified"
G822,Paraplegia
G825,Quadriplegia
G83,Other paralytic syndromes
G831,Monoplegia of lower limb
G832,Monoplegia of upper limb
G833,"Monoplegia, unspecified"
G834,Cauda equina syndrome
G835,Locked-in state
G838,Other specified paralytic syndromes
G839,"Paralytic syndrome, unspecified"
G89,"Pain, not elsewhere classified"
G891,"Acute pain, not elsewhere classified"
G892,"Chronic pain, not elsewhere classified"
G893,Neoplasm related pain (acute) (chronic)
G894,Chronic pain syndrome
G900,Idiopathic peripheral autonomic neuropathy
G901,Familial dysautonomia [Riley-Day]
G902,Horner's syndrome
G903,Multi-system degeneration of the autonomic nervous system
G904,Autonomic dysreflexia
G905,Complex regional pain syndrome I (CRPS I)
G908,Other disorders of autonomic nervous system
G909,"Disorder of the autonomic nervous system, unspecified"
G91,Hydrocephalus
G92,Toxic encephalopathy
G93,Other disorders of brain
G934,Other and unspecified encephalopathy
G935,Compression of brain
G936,Cerebral edema
G937,Reye's syndrome
G938,Other specified disorders of brain
G939,"Disorder of brain, unspecified"
G94,Other disorders of brain in diseases classified elsewhere
G95,Other and unspecified diseases of spinal cord
G951,Vascular myelopathies
G952,Other and unspecified cord compression
G958,Other specified diseases of spinal cord
G959,"Disease of spinal cord, unspecified"
G96,Other disorders of central nervous system
G961,"Disorders of meninges, not elsewhere classified"
G968,Other specified disorders of central nervous system
G969,"Disorder of central nervous system, unspecified"
G97,"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
G973,Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating a procedure
G974,Accidental puncture and laceration of a nervous system organ or structure during a procedure
G975,Postprocedural hemorrhage of a nervous system organ or structure following a procedure
G976,Postprocedural hematoma and seroma of a nervous system organ or structure following a procedure
G978,Other intraoperative and postprocedural complications and disorders of nervous system
G98,Other disorders of nervous system not elsewhere classified
G99,Other disorders of nervous system in diseases classified elsewhere
H001,Chalazion
H018,Other specified inflammations of eyelid
H019,Unspecified inflammation of eyelid
H023,Blepharochalasis
H026,Xanthelasma of eyelid
H027,Other and unspecified degenerative disorders of eyelid and periocular area
H029,Unspecified disorder of eyelid
H049,"Disorder of lacrimal system, unspecified"
H050,Acute inflammation of orbit
H051,Chronic inflammatory disorders of orbit
H052,Exophthalmic conditions
H053,Deformity of orbit
H055,Retained (old) foreign body following penetrating wound of orbit
H059,Unspecified disorder of orbit
H101,Acute atopic conjunctivitis
H103,Unspecified acute conjunctivitis
H109,Unspecified conjunctivitis
H111,Conjunctival degenerations and deposits
H113,Conjunctival hemorrhage
H119,Unspecified disorder of conjunctiva
H159,Unspecified disorder of sclera
H168,Other keratitis
H169,Unspecified keratitis
H170,Adherent leukoma
H171,Central corneal opacity
H179,Unspecified corneal scar and opacity
H181,Bullous keratopathy
H182,Other and unspecified corneal edema
H183,Changes of corneal membranes
H184,Corneal degeneration
H185,Hereditary corneal dystrophies
H187,Other and unspecified corneal deformities
H189,Unspecified disorder of cornea
H200,Acute and subacute iridocyclitis
H201,Chronic iridocyclitis
H202,Lens-induced iridocyclitis
H209,Unspecified iridocyclitis
H210,Hyphema
H214,Pupillary membranes
H218,Other specified disorders of iris and ciliary body
H219,Unspecified disorder of iris and ciliary body
H22,Disorders of iris and ciliary body in diseases classified elsewhere
H251,Age-related nuclear cataract
H252,"Age-related cataract, morgagnian type"
H259,Unspecified age-related cataract
H262,Complicated cataract
H263,Drug-induced cataract
H264,Secondary cataract
H268,Other specified cataract
H269,Unspecified cataract
H270,Aphakia
H271,Dislocation of lens
H278,Other specified disorders of lens
H279,Unspecified disorder of lens
H28,Cataract in diseases classified elsewhere
H302,Posterior cyclitis
H309,Unspecified chorioretinal inflammation
H312,Hereditary choroidal dystrophy
H318,Other specified disorders of choroid
H319,Unspecified disorder of choroid
H32,Chorioretinal disorders in diseases classified elsewhere
H332,Serous retinal detachment
H334,Traction detachment of retina
H338,Other retinal detachments
H340,Transient retinal artery occlusion
H341,Central retinal artery occlusion
H349,Unspecified retinal vascular occlusion
H350,Background retinopathy and retinal vascular changes
H352,Other non-diabetic proliferative retinopathy
H353,Degeneration of macula and posterior pole
H354,Peripheral retinal degeneration
H355,Hereditary retinal dystrophy
H356,Retinal hemorrhage
H357,Separation of retinal layers
H358,Other specified retinal disorders
H359,Unspecified retinal disorder
H36,Retinal disorders in diseases classified elsewhere
H409,Unspecified glaucoma
H42,Glaucoma in diseases classified elsewhere
H430,Vitreous prolapse
H431,Vitreous hemorrhage
H432,Crystalline deposits in vitreous body
H439,Unspecified disorder of vitreous body
H442,Degenerative myopia
H443,Other and unspecified degenerative disorders of globe
H444,Hypotony of eye
H445,Degenerated conditions of globe
H449,Unspecified disorder of globe
H460,Optic papillitis
H461,Retrobulbar neuritis
H462,Nutritional optic neuropathy
H463,Toxic optic neuropathy
H468,Other optic neuritis
H469,Unspecified optic neuritis
H471,Papilledema
H472,Optic atrophy
H474,Disorders of optic chiasm
H479,Unspecified disorder of visual pathways
H490,Third [oculomotor] nerve palsy
H491,Fourth [trochlear] nerve palsy
H492,Sixth [abducent] nerve palsy
H493,Total (external) ophthalmoplegia
H494,Progressive external ophthalmoplegia
H499,Unspecified paralytic strabismus
H500,Esotropia
H501,Exotropia
H502,Vertical strabismus
H503,Intermittent heterotropia
H504,Other and unspecified heterotropia
H505,Heterophoria
H506,Mechanical strabismus
H509,Unspecified strabismus
H51,Other disorders of binocular movement
H511,Convergence insufficiency and excess
H512,Internuclear ophthalmoplegia
H518,Other specified disorders of binocular movement
H519,Unspecified disorder of binocular movement
H520,Hypermetropia
H521,Myopia
H523,Anisometropia and aniseikonia
H524,Presbyopia
H526,Other disorders of refraction
H527,Unspecified disorder of refraction
H531,Subjective visual disturbances
H532,Diplopia
H533,Other and unspecified disorders of binocular vision
H534,Visual field defects
H535,Color vision deficiencies
H536,Night blindness
H537,Vision sensitivity deficiencies
H538,Other visual disturbances
H539,Unspecified visual disturbance
H541,"Blindness, one eye, low vision other eye"
H543,"Unqualified visual loss, both eyes"
H544,"Blindness, one eye"
H545,"Low vision, one eye"
H546,"Unqualified visual loss, one eye"
H547,Unspecified visual loss
H548,"Legal blindness, as defined in USA"
H550,Nystagmus
H558,Other irregular eye movements
H570,Anomalies of pupillary function
H571,Ocular pain
H578,Other specified disorders of eye and adnexa
H579,Unspecified disorder of eye and adnexa
H594,Inflammation (infection) of postprocedural bleb
H600,Abscess of external ear
H601,Cellulitis of external ear
H602,Malignant otitis externa
H604,Cholesteatoma of external ear
H606,Unspecified chronic otitis externa
H609,Unspecified otitis externa
H612,Impacted cerumen
H619,"Disorder of external ear, unspecified"
H624,Otitis externa in other diseases classified elsewhere
H650,Acute serous otitis media
H652,Chronic serous otitis media
H653,Chronic mucoid otitis media
H659,Unspecified nonsuppurative otitis media
H661,Chronic tubotympanic suppurative otitis media
H662,Chronic atticoantral suppurative otitis media
H664,"Suppurative otitis media, unspecified"
H669,"Otitis media, unspecified"
H67,Otitis media in diseases classified elsewhere
H690,Patulous Eustachian tube
H698,Other specified disorders of Eustachian tube
H699,Unspecified Eustachian tube disorder
H701,Chronic mastoiditis
H709,Unspecified mastoiditis
H710,Cholesteatoma of attic
H711,Cholesteatoma of tympanum
H712,Cholesteatoma of mastoid
H713,Diffuse cholesteatosis
H719,Unspecified cholesteatoma
H720,Central perforation of tympanic membrane
H721,Attic perforation of tympanic membrane
H729,Unspecified perforation of tympanic membrane
H731,Chronic myringitis
H732,Unspecified myringitis
H739,Unspecified disorder of tympanic membrane
H740,Tympanosclerosis
H741,Adhesive middle ear disease
H742,Discontinuity and dislocation of ear ossicles
H744,Polyp of middle ear
H749,Unspecified disorder of middle ear and mastoid
H750,Mastoiditis in infectious and parasitic diseases classified elsewhere
H758,Other specified disorders of middle ear and mastoid in diseases classified elsewhere
H800,"Otosclerosis involving oval window, nonobliterative"
H801,"Otosclerosis involving oval window, obliterative"
H802,Cochlear otosclerosis
H808,Other otosclerosis
H809,Unspecified otosclerosis
H810,Meniere's disease
H811,Benign paroxysmal vertigo
H812,Vestibular neuronitis
H814,Vertigo of central origin
H819,Unspecified disorder of vestibular function
H82,Vertiginous syndromes in diseases classified elsewhere
H830,Labyrinthitis
H831,Labyrinthine fistula
H839,Unspecified disease of inner ear
H90,Conductive and sensorineural hearing loss
H901,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side"
H902,"Conductive hearing loss, unspecified"
H903,"Sensorineural hearing loss, bilateral"
H904,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
H905,Unspecified sensorineural hearing loss
H906,"Mixed conductive and sensorineural hearing loss, bilateral"
H907,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side"
H908,"Mixed conductive and sensorineural hearing loss, unspecified"
H910,Ototoxic hearing loss
H911,Presbycusis
H912,Sudden idiopathic hearing loss
H913,"Deaf nonspeaking, not elsewhere classified"
H919,Unspecified hearing loss
H920,Otalgia
H921,Otorrhea
H922,Otorrhagia
H931,Tinnitus
H93A,Pulsatile tinnitus
H939,Unspecified disorder of ear
H940,Acoustic neuritis in infectious and parasitic diseases classified elsewhere
H948,Other specified disorders of ear in diseases classified elsewhere
H950,Recurrent cholesteatoma of postmastoidectomy cavity
H952,Intraoperative hemorrhage and hematoma of ear and mastoid process complicating a procedure
H953,Accidental puncture and laceration of ear and mastoid process during a procedure
H954,Postprocedural hemorrhage of ear and mastoid process following a procedure
H955,Postprocedural hematoma and seroma of ear and mastoid process following a procedure
I00,Rheumatic fever without heart involvement
I01,Rheumatic fever with heart involvement
I02,Rheumatic chorea
I05,Rheumatic mitral valve diseases
I06,Rheumatic aortic valve diseases
I07,Rheumatic tricuspid valve diseases
I08,Multiple valve diseases
I09,Other rheumatic heart diseases
I098,Other specified rheumatic heart diseases
I099,"Rheumatic heart disease, unspecified"
I10,Essential (primary) hypertension
I11,Hypertensive heart disease
I12,Hypertensive chronic kidney disease
I13,Hypertensive heart and chronic kidney disease
I131,Hypertensive heart and chronic kidney disease without heart failure
I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease"
I15,Secondary hypertension
I16,Hypertensive crisis
I20,Angina pectoris
I210,ST elevation (STEMI) myocardial infarction of anterior wall
I211,ST elevation (STEMI) myocardial infarction of inferior wall
I212,ST elevation (STEMI) myocardial infarction of other sites
I213,ST elevation (STEMI) myocardial infarction of unspecified site
I214,Non-ST elevation (NSTEMI) myocardial infarction
I219,"Acute myocardial infarction, unspecified"
I21A,Other type of myocardial infarction
I22,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
I23,Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period)
I24,Other acute ischemic heart diseases
I251,Atherosclerotic heart disease of native coronary artery
I252,Old myocardial infarction
I253,Aneurysm of heart
I254,Coronary artery aneurysm and dissection
I255,Ischemic cardiomyopathy
I256,Silent myocardial ischemia
I259,"Chronic ischemic heart disease, unspecified"
I260,Pulmonary embolism with acute cor pulmonale
I269,Pulmonary embolism without acute cor pulmonale
I27,Other pulmonary heart diseases
I272,Other secondary pulmonary hypertension
I278,Other specified pulmonary heart diseases
I279,"Pulmonary heart disease, unspecified"
I28,Other diseases of pulmonary vessels
I30,Acute pericarditis
I31,Other diseases of pericardium
I32,Pericarditis in diseases classified elsewhere
I33,Acute and subacute endocarditis
I34,Nonrheumatic mitral valve disorders
I35,Nonrheumatic aortic valve disorders
I36,Nonrheumatic tricuspid valve disorders
I37,Nonrheumatic pulmonary valve disorders
I38,"Endocarditis, valve unspecified"
I39,Endocarditis and heart valve disorders in diseases classified elsewhere
I40,Acute myocarditis
I41,Myocarditis in diseases classified elsewhere
I42,Cardiomyopathy
I43,Cardiomyopathy in diseases classified elsewhere
I44,Atrioventricular and left bundle-branch block
I443,Other and unspecified atrioventricular block
I444,Left anterior fascicular block
I445,Left posterior fascicular block
I446,Other and unspecified fascicular block
I447,"Left bundle-branch block, unspecified"
I45,Other conduction disorders
I451,Other and unspecified right bundle-branch block
I452,Bifascicular block
I453,Trifascicular block
I454,Nonspecific intraventricular block
I455,Other specified heart block
I456,Pre-excitation syndrome
I458,Other specified conduction disorders
I459,"Conduction disorder, unspecified"
I46,Cardiac arrest
I47,Paroxysmal tachycardia
I48,Atrial fibrillation and flutter
I489,Unspecified atrial fibrillation and atrial flutter
I490,Ventricular fibrillation and flutter
I491,Atrial premature depolarization
I492,Junctional premature depolarization
I493,Ventricular premature depolarization
I494,Other and unspecified premature depolarization
I495,Sick sinus syndrome
I498,Other specified cardiac arrhythmias
I499,"Cardiac arrhythmia, unspecified"
I50,Heart failure
I502,Systolic (congestive) heart failure
I503,Diastolic (congestive) heart failure
I504,Combined systolic (congestive) and diastolic (congestive) heart failure
I509,"Heart failure, unspecified"
I51,Complications and ill-defined descriptions of heart disease
I518,Other ill-defined heart diseases
I519,"Heart disease, unspecified"
I52,Other heart disorders in diseases classified elsewhere
I600,Nontraumatic subarachnoid hemorrhage from carotid siphon and bifurcation
I601,Nontraumatic subarachnoid hemorrhage from middle cerebral artery
I602,Nontraumatic subarachnoid hemorrhage from anterior communicating artery
I603,Nontraumatic subarachnoid hemorrhage from posterior communicating artery
I604,Nontraumatic subarachnoid hemorrhage from basilar artery
I605,Nontraumatic subarachnoid hemorrhage from vertebral artery
I606,Nontraumatic subarachnoid hemorrhage from other intracranial arteries
I607,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery
I608,Other nontraumatic subarachnoid hemorrhage
I609,"Nontraumatic subarachnoid hemorrhage, unspecified"
I61,Nontraumatic intracerebral hemorrhage
I620,Nontraumatic subdural hemorrhage
I621,Nontraumatic extradural hemorrhage
I629,"Nontraumatic intracranial hemorrhage, unspecified"
